Word,Pronunciation (RU),Translation,Example EN,Example RU,Level
arouse,эра́уз,"возбуждать, вызывать",I can't keep my eyes off the dancer; she arouses me greatly.,Я не могу держать глаз от танцора; Она очень меня возбуждает.,B2
pretty,при́тти,"красивый, довольно",The pretty played an important role in the project.,Прекрасно сыграла важную роль в проекте.,A2
grand,гранд,"грандиозный, величественный",A grand army,Великая армия,B2
volume,во́льюм,"объём, громкость","The room is 9x12x8, so its volume is 864 cubic feet.","Комната составляет 9x12x8, поэтому его объем составляет 864 кубических фута.",B1
draw,дро́,"рисовать, тянуть",The game ended in a draw.,Игра закончилась в ничьей.,A1
coach,ко́уч,"тренер, автобус","John flew coach to vienna, but first-class back home.","Джон полетел тренеру в Вену, но первоклассный вернулся домой.",B1
provide,прова́йд,"предоставлять, обеспечивать",It is difficult to provide for my family working on minimum wage.,Трудно обеспечить мою семью работать над минимальной заработной платой.,B2
provider,прова́йдер,"поставщик, провайдер",Understanding provider is essential for success.,Понимание поставщика необходимо для успеха.,B2
provision,прови́жн,"положение, обеспечение",We increased our provision for bad debts on credit sales going into the recession.,"Мы увеличили наше положение о плохих долгах по продажам кредитов, входящих в рецессию.",C1
cope with,ко́уп виз,справляться с,Modern cope with has many applications.,Modern Cope с множеством приложений.,B2
condition,кенди́шн,"состояние, условие",Environmental protection is a condition for sustainability.   what other planets might have the right conditions for life?   the union had a dispute over sick time and other conditions of employment.,Защита окружающей среды является условием устойчивости.   Какие еще планеты могут иметь правильные условия для жизни?   У профсоюза был спор о больном времени и других условиях занятости.,B1
land,лэнд,"земля, приземляться",Most insects live on land.,Большинство насекомых живут на суше.,A1
scope,ско́уп,"сфера, область",The scope of an adverb,Область наречия,B2
pack,пэк,"упаковывать, пакет",The horses carried the packs across the plain.,Лошади несли пакеты через равнину.,A2
package,пэ́кидж,"посылка, пакет",Did you test the software package to ensure completeness?,"Вы проверили программный пакет, чтобы обеспечить полноту?",A2
craft,крафт,"ремесло, мастерство",The craft of writing plays.,Руководство написания пьес.,B2
craftsman,кра́фтсмэн,"мастер, ремесленник",The craftsman played an important role in the project.,Мастер сыграл важную роль в проекте.,B2
crafty,кра́фти,"хитрый, ловкий",The concept of crafty is interesting.,Концепция хитрости интересна.,B2
worth,ворс,"стоящий, стоимость","I’ll have a dollar's worth of candy, please.","У меня будет конфеты в долларах, пожалуйста.",B1
worthy,во́рси,достойный,The worthy played an important role in the project.,Достойный сыграл важную роль в проекте.,B2
urban,уrb́эn,городской,Modern urban has many applications.,Современный городской город имеет много применений.,A2
urbanization,уrbэnи́zэtи,урбанизация,Modern urbanization has many applications.,Современная урбанизация имеет много применений.,C1
